Temporal;Comparison;Contingency;Expansion
once;although;because;for example
before;though;if;and
until;but;so;also
previously;nevertheless;as long as;separately
when;while;so that;or
then;however;since;moreover
after;still;as a result;in addition
as;on the other hand;therefore;instead
meanwhile;nonetheless;thus;for instance
later;yet;if and when;unless
ultimately;whereas;thereby;rather
in turn;by comparison;now that;in fact
afterward;in contrast;if then;indeed
next;by contrast;lest;either or
till;regardless;consequently;in particular
before and after;as though;hence;further
meantime;conversely;accordingly;similarly
thereafter;on the contrary;for;besides
earlier;on the one hand on the other hand;insofar as;nor
as soon as;even so;because of;alternatively
by then;despite;whatever;overall
simultaneously;instead of;when/then;finally
when and if;even though;in this way;otherwise
at the time;even if;in case;as if
everytime;by the way;given that;additionally
at that point;in spite of;given;likewise
upon;;in response to;in the end
eventually;;after all;in other words
at the same time;;as a result of;except
after that;;irrespective of;in short
whenever;;;neither nor
;;;furthermore
;;;specifically
;;;as well
;;;much as
;;;plus
;;;in sum
;;;else
;;;as an alternative
;;;aside from
;;;for one
;;;quite the contrary
;;;for one thing
;;;without
;;;with
;;;in any event
;;;essentially
;;;in essence
;;;anyway
;;;except that
;;;in addition to
;;;in any case
;;;rather than
;;;not only/but
;;;particularly