Comparison;Contingency;Expansion;Temporal
although (0.3%);accordingly (0.0%);additionally (0.0%);after (0.35%)
as though (40.0%);after all (0.0%);also (0.06%);after that (0.0%)
but (2.81%);as a result (0.0%);alternatively (0.0%);afterward (0.0%)
by comparison (0.0%);as a result of (0.0%);and (3.17%);as (29.74%)
by contrast (0.0%);as long as (33.33%);anyway (0.0%);as soon as (0.0%)
by the way (0.0%);because (0.0%);as an alternative (0.0%);at that point (0.0%)
conversely (0.0%);because of (0.0%);as if (31.25%);at the same time (0.0%)
despite (0.0%);consequently (0.0%);as well (0.0%);at the time (0.0%)
even if (0.0%);for (0.0%);aside from (0.0%);before (0.0%)
even so (0.0%);given (0.0%);besides (5.26%);before and after (0.0%)
even though (0.0%);given that (0.0%);either or (0.0%);by then (0.0%)
however (0.41%);hence (0.0%);else (0.0%);earlier (6.67%)
in contrast (0.0%);if (4.01%);essentially (0.0%);eventually (0.0%)
in spite of (0.0%);if and when (0.0%);except (0.0%);everytime (0.0%)
instead of (0.0%);if then (0.0%);except that (0.0%);in turn (36.67%)
nevertheless (0.0%);in case (0.0%);finally (37.5%);later (1.1%)
nonetheless (3.7%);in response to (0.0%);for example (0.0%);meantime (13.33%)
on the contrary (0.0%);in this way (0.0%);for instance (0.0%);meanwhile (51.3%)
on the one hand on the other hand (0.0%);insofar as (0.0%);for one (0.0%);next (14.29%)
on the other hand (2.7%);irrespective of (0.0%);for one thing (0.0%);once (4.76%)
regardless (0.0%);lest (50.0%);further (0.0%);previously (4.08%)
still (1.58%);now that (31.82%);furthermore (0.0%);simultaneously (0.0%)
though (0.0%);since (47.83%);in addition (0.0%);then (6.76%)
whereas (0.0%);so (0.0%);in addition to (0.0%);thereafter (0.0%)
while (33.93%);so that (0.0%);in any case (0.0%);till (0.0%)
yet (2.97%);thereby (0.0%);in any event (0.0%);ultimately (22.22%)
;therefore (0.0%);in essence (0.0%);until (12.96%)
;thus (0.0%);in fact (7.32%);upon (0.0%)
;whatever (0.0%);in other words (0.0%);when (19.82%)
;when/then (0.0%);in particular (0.0%);when and if (0.0%)
;;in short (0.0%);whenever (0.0%)
;;in sum (0.0%);
;;in the end (44.44%);
;;indeed (4.81%);
;;instead (2.68%);
;;likewise (0.0%);
;;moreover (0.0%);
;;much as (50.0%);
;;neither nor (33.33%);
;;nor (3.23%);
;;not only/but (0.0%);
;;or (3.06%);
;;otherwise (0.0%);
;;overall (0.0%);
;;particularly (0.0%);
;;plus (0.0%);
;;quite the contrary (0.0%);
;;rather (23.53%);
;;rather than (0.0%);
;;separately (0.0%);
;;similarly (0.0%);
;;specifically (0.0%);
;;unless (1.05%);
;;with (0.0%);
;;without (0.0%);